,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
350,APPLE,iPad,5th Generation) 8 GB RAM 256 GB ROM 12.9 inches with Wi-Fi+5G ,2,64,2685,32.77,122900
351,I,Kall,"Silver, 8 GB)",2,256,2685,12.7,3999
352,SAMSUNG,Galaxy,Silver),2,64,3500,26.42,18999
353,Lenovo,Yoga,2 GB RAM) 2 GB RAM 16 GB ROM 8 inch with Wi-Fi+4G Tablet ,6,256,10090,20.32,15828
354,SAMSUNG,Galaxy,Silver),8,256,4850,31.5,45999
355,APPLE,iPad,5th Generation) 8 GB RAM 128 GB ROM 12.9 inches with Wi-Fi Only ,2,256,2685,32.77,90900
356,Lenovo,Tab,Iron Grey),2,64,2685,17.78,7999
357,APPLE,iPad,6th Gen) 256 GB ROM 8.3 inch with Wi-Fi+5G ,2,16,2685,21.08,71900
358,APPLE,iPad,5th Generation) 8 GB RAM 128 GB ROM 12.9 inches with Wi-Fi Only ,2,16,2685,32.77,92900
359,SAMSUNG,Galaxy,Pink Gold),3,256,3000,31.5,88999
360,APPLE,iPad,3rd Generation) 8 GB RAM 128 GB ROM 11 inches with Wi-Fi Only ,2,128,2685,27.94,68900
361,Lenovo,Tab,HD) 2 GB RAM 32 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,12,64,10090,25.65,11999
362,Swipe,STRIKE,Gold),2,64,2685,17.78,6499
363,SAMSUNG,Galaxy,Graphite),8,256,7040,31.5,66999
364,SAMSUNG,Galaxy,Angora Blue),6,8,5100,26.42,31999
365,SAMSUNG,Galaxy,Silver),2,64,2685,20.32,8999
366,Lenovo,Tab,2nd Gen) FHD 3 GB RAM 32 GB ROM 8 inch with Wi-Fi+4G Tablet ,2,16,5100,20.32,11999
367,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,8,128,4850,35.56,61790
368,Lenovo,Tab,HD) 3 GB RAM 32 GB ROM 10.1 inch with Wi-Fi+4G Tablet ,4,128,2685,25.65,13999
369,SAMSUNG,Galaxy,Oxford Grey),8,16,7040,26.42,31999
370,SAMSUNG,Galaxy,Graphit...,2,256,2685,37.08,101999
371,acer,ONE,Black),8,128,10090,25.4,12999
372,I,Kall,Black),2,128,2685,17.78,5224
373,VIZIO,VIZIO,Black),2,128,2685,17.78,5299
374,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only ,4,32,4000,27.69,68900
375,Lenovo,Tab3,Black),4,32,3000,17.78,5000
376,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only ,2,128,2685,27.69,68900
377,SAMSUNG,Galaxy,Silver),8,64,3450,20.32,11999
378,Heatz,Z,ROSE GOLD),2,32,2685,17.78,5499
379,Lenovo,M7,Black),4,32,3500,17.78,9499
380,SAMSUNG,Galaxy,Black),4,32,5100,20.31,9999
381,SAMSUNG,Galaxy,Oxford Gre...,2,64,7040,26.42,24999
382,ASUS,CM3000DVA-HT0038,Mineral Grey),2,256,5100,26.67,29990
383,I,Kall,Black),8,32,6000,17.78,5414
384,Panasonic,Tab,Black),8,16,4600,20.32,9499
385,Swipe,Slate,Space Grey),4,16,4000,25.65,10999
